file,location,issue_type,message,line_text
0108.txt,line 17,warning,Secuencia de artículos salta de 2 a 4,"ARTICULO 4o.- EN LOS TÉRMINOS DE LA LEY GENERAL DE SALUD Y DE LA PRESENTE LEY, CORRESPONDE AL ESTADO:"
0108.txt,line 177,warning,Secuencia de artículos salta de 20 a 27,ARTÍCULO 27 DE LA LEY GENERAL DE SALUD.
0108.txt,line 870,warning,Secuencia de artículos salta de 132 a 134,"ARTÍCULO 134.- SE SANCIONARÁ CON MULTA EQUIVALENTE DE 50 A 500 UNIDADES DE MEDIDA Y ACTUALIZACIÓN (UMA) VIGENTE, LA VIOLACIÓN DE LAS"
0119.txt,line 41,warning,Capitulo sin sufijo válido (línea ignorada),CAPÍTULO ll DE LAS ATRIBUCIONES DE LA SECRETARÍA DE TURISMO
0125.txt,line 240,warning,Titulo sin sufijo válido (línea ignorada),Título Designación
0125.txt,line 480,warning,Capitulo sin sufijo válido (línea ignorada),Capítulo Designación 01. Muestreo de materiales pétreos para mezclas asfálticas M·MMP·4·04·001/02 02. Granulometría de materiales pétreos para mezclas asfálticas M·MMP·4·04·002/02
0125.txt,line 536,warning,Capitulo sin sufijo válido (línea ignorada),Capítulo Designación 001. Muestreo de materiales asfálticos M·MMP·4·05·001/00 002. Viscosidad dinámica de cementos y residuos asfálticos M·MMP·4·05·002/02 003. Viscosidad cinemática de cementos asfálticos M·MMP·4·05·003/02 004. Viscosidad saybolt-furol en materiales asfálticos M·MMP·4·05·004/00 005. Viscosidad rotacional brookfield de cementos asfálticos M·MMP·4·05·005/02 006. Penetración en cementos y residuos asfálticos M·MMP·4·05·006/00 007. Punto de inflamación cleveland en cementos asfálticos M·MMP·4·05·007/00 008. Solubilidad de cementos y residuos asfálticos M·MMP·4·05·008/00 009. Punto de reblandecimiento en cementos asfálticos M·MMP·4·05·009/00 010. ebas en el residuo de la película delgada de cementos asfálticos M·MMP·4·05·010/02 011. Ductilidad de cementos y residuos asfálticos M·MMP·4·05·011/00 012. Destilación de emulsiones asfálticas M·MMP·4·05·012/00 013. Asentamiento de emulsiones asfálticas M·MMP·4·05·013/02 014. Retenido en las mallas N°20 y N°60 en emulsiones asfálticas M·MMP·4·05·014/02 015. Cubrimiento del agregado en emulsiones asfálticas M·MMP·4·05·015/00 016. Miscibilidad con cemento pórtland de emulsiones asfálticas M·MMP·4·05·016/00 017. Carga eléctrica de las partículas de emulsiones asfálticas M·MMP·4·05·017/00 018. Demulsibilidad de emulsiones asfálticas M·MMP·4·05·018/00 019. Índice de ruptura de emulsiones asfálticas catiónicas M·MMP·4·05·019/02 020. Punto de inflamación tag en asfaltos rebajados M·MMP·4·05·020/02 021. Destilación de asfaltos rebajados M·MMP·4·05·021/02
0127.txt,line 403,warning,Secuencia de artículos salta de 72 a 74,"Artículo 74.- Toda resolución dictada por la autoridad administrativa deberá hacerse constar por escrito, y contendrá:"
0129.txt,line 341,warning,Secuencia de artículos salta de 57 a 59,"Artículo 59.- En los municipios, preferentemente metropolitanos, se creará el SARE, como un mecanismo que integra y consolida todos los trámites municipales para abrir una micro, pequeña, mediana o grande empresa que realiza actividades de bajo riesgo para la salud, seguridad y el medio ambiente garantizando el inicio de operaciones en un máximo de tres días hábiles, a partir del ingreso de la solicitud debidamente integrada y aceptada por la autoridad correspondiente. El SARE deberá contener al menos los siguientes elementos y criterios:"
0132.txt,line 139,warning,Secuencia de artículos salta de 21 a 23,Artículo 23.- Son sanciones administrativas:
0138.txt,line 461,warning,Secuencia de artículos salta de 72 a 75,"ARTÍCULO 75.- Cuando el contenido de la queja, a juicio del Consejo, se refiera a casos graves, o bien exista el riesgo inminente de afectar nuevamente a la persona peticionaria o agraviada, el asunto no podrá someterse al procedimiento de conciliación con las autoridades o particulares presuntamente responsables de la discriminación, por lo que se continuará con la investigación o, si se contara con elementos suficientes, se procederá a su resolución."
0147.txt,line 78,warning,Secuencia de artículos salta de 9 a 11,ARTICULO 11.- Los vocales tendrán las siguientes atribuciones y responsabilidades.
0156.txt,line 46,warning,Capitulo sin sufijo válido (línea ignorada),CAPÍTULO IIII DE LA ESTRUCTURA ORGÁNICA Y FUNCIONAL
0162.txt,line 52,warning,Secuencia de artículos salta de 19 a 21,"Artículo 21.- Una vez recibidas las propuestas por la Comisión de Juventud, ésta procederá al análisis, estudio e investigación de las"
0166.txt,line 49,warning,Secuencia de artículos salta de 6 a 8,"ARTÍCULO 8º.- La Junta Directiva, órgano de gobierno de la Universidad, estará integrada por doce miembros que serán:"
0174.txt,line 108,warning,Secuencia de artículos salta de 10 a 13,ARTÍCULO 13.- DEL PLAZO PARA INTERPONER LA SOLICITUD
0174.txt,line 114,warning,Secuencia de artículos salta de 13 a 15,ARTÍCULO 15.- DE LA ADMISIÓN O DESECHAMIENTO
0174.txt,line 126,warning,Secuencia de artículos salta de 15 a 17,ARTÍCULO 17.- DE LA PUBLICACIÓN DE EDICTOS.
0175.txt,line 80,warning,Secuencia de artículos salta de 18 a 20,Artículo 20.- Compete a los Presidentes Municipales:
